Sentence (Input),Label,Correct Sentence (Output)
මිනිසුන් දෙදෙනෙකු මෝටර් රථ ක්‍රීඩාවක යෙදෙයි.,Correct,මිනිසුන් දෙදෙනෙකු මෝටර් රථ ක්‍රීඩාවක යෙදෙයි.
මිනිසුන් දෙදෙනෙකු ක්‍රීඩාවක යෙදෙයි. රථ මෝටර්,Incorrect,මිනිසුන් දෙදෙනෙකු මෝටර් රථ ක්‍රීඩාවක යෙදෙයි.
මෝටර්සයිකල් තරඟයකදී තරඟකරුවෙක් අනෙකා හඹා යයි.,Correct,මෝටර්සයිකල් තරඟයකදී තරඟකරුවෙක් අනෙකා හඹා යයි.
හඹා යයි. මෝටර්සයිකල් අනෙකා තරඟකරුවෙක් තරඟයකදී,Incorrect,මෝටර්සයිකල් තරඟයකදී තරඟකරුවෙක් අනෙකා හඹා යයි.
මෝටර් රථ තරගයක මෝටර් රථයක් වේගයෙන් ගමන් කරයි.,Correct,මෝටර් රථ තරගයක මෝටර් රථයක් වේගයෙන් ගමන් කරයි.
කරයි. රථ මෝටර් වේගයෙන් මෝටර් තරගයක රථයක් ගමන්,Incorrect,මෝටර් රථ තරගයක මෝටර් රථයක් වේගයෙන් ගමන් කරයි.
ක්‍රීඩකයන් දෙදෙනෙකු මෝටර් රථයක් පදවයි.,Correct,ක්‍රීඩකයන් දෙදෙනෙකු මෝටර් රථයක් පදවයි.
දෙදෙනෙකු ක්‍රීඩකයන් මෝටර් රථයක් පදවයි.,Incorrect,ක්‍රීඩකයන් දෙදෙනෙකු මෝටර් රථයක් පදවයි.
මිනිසෙක් ධාවනය වන මොටර් රථයක එල්ලී සිටියි.,Correct,මිනිසෙක් ධාවනය වන මොටර් රථයක එල්ලී සිටියි.
සිටියි. රථයක එල්ලී මිනිසෙක් මොටර් වන ධාවනය,Incorrect,මිනිසෙක් ධාවනය වන මොටර් රථයක එල්ලී සිටියි.
මිනිසෙකු වාහනයක් අලුත් වැඩියා කරයි.,Correct,මිනිසෙකු වාහනයක් අලුත් වැඩියා කරයි.
මිනිසෙකු අලුත් කරයි. වාහනයක් වැඩියා,Incorrect,මිනිසෙකු වාහනයක් අලුත් වැඩියා කරයි.
මෝටර් රථ යාන්ත්‍රිකයෙක් කාර් එකක උවසුන වෙතට බටයකින් වතුර පහරක් එල්ල කරයි.,Correct,මෝටර් රථ යාන්ත්‍රිකයෙක් කාර් එකක උවසුන වෙතට බටයකින් වතුර පහරක් එල්ල කරයි.
වතුර උවසුන වෙතට එකක කාර් මෝටර් කරයි. යාන්ත්‍රිකයෙක් රථ බටයකින් පහරක් එල්ල,Incorrect,මෝටර් රථ යාන්ත්‍රිකයෙක් කාර් එකක උවසුන වෙතට බටයකින් වතුර පහරක් එල්ල කරයි.
මිනිසෙකු මෝටර් රථයක් අලුත් වැඩියා කරයි.,Correct,මිනිසෙකු මෝටර් රථයක් අලුත් වැඩියා කරයි.
වැඩියා මිනිසෙකු රථයක් කරයි. මෝටර් අලුත්,Incorrect,මිනිසෙකු මෝටර් රථයක් අලුත් වැඩියා කරයි.
පුද්ගලයෙක් මෝටර් රථයක් පිරිසිදු කරයි.,Correct,පුද්ගලයෙක් මෝටර් රථයක් පිරිසිදු කරයි.
පුද්ගලයෙක් පිරිසිදු කරයි. මෝටර් රථයක්,Incorrect,පුද්ගලයෙක් මෝටර් රථයක් පිරිසිදු කරයි.
මිනිසෙක් ඔසවා ඇති මෝටර් රථයක් සෝදමින් සිටියි.,Correct,මිනිසෙක් ඔසවා ඇති මෝටර් රථයක් සෝදමින් සිටියි.
ඇති ඔසවා සෝදමින් මෝටර් සිටියි. රථයක් මිනිසෙක්,Incorrect,මිනිසෙක් ඔසවා ඇති මෝටර් රථයක් සෝදමින් සිටියි.
ක්‍රීඩකයෙක් ඔහුගේ පිත්ත ඔසවයි.,Correct,ක්‍රීඩකයෙක් ඔහුගේ පිත්ත ඔසවයි.
ඔහුගේ ක්‍රීඩකයෙක් පිත්ත ඔසවයි.,Incorrect,ක්‍රීඩකයෙක් ඔහුගේ පිත්ත ඔසවයි.
බේස්බෝල් ක්‍රීඩකයෙක් කලු පිත්තක් අතින් අල්ලාගෙන සිටියි.,Correct,බේස්බෝල් ක්‍රීඩකයෙක් කලු පිත්තක් අතින් අල්ලාගෙන සිටියි.
පිත්තක් කලු අල්ලාගෙන බේස්බෝල් සිටියි. ක්‍රීඩකයෙක් අතින්,Incorrect,බේස්බෝල් ක්‍රීඩකයෙක් කලු පිත්තක් අතින් අල්ලාගෙන සිටියි.
ඔයාගේ නම කුමක් ද.,Correct,ඔයාගේ නම කුමක් ද.
නම ඔයාගේ කුමක් ද.,Incorrect,ඔයාගේ නම කුමක් ද.
කුමන නිවැරදිද?.,Correct,කුමන නිවැරදිද?.
නිවැරදිද?. කුමන,Incorrect,කුමන නිවැරදිද?.
කරුණාකර මට උදව් කරනවද?.,Correct,කරුණාකර මට උදව් කරනවද?.
උදව් කරුණාකර මට කරනවද?.,Incorrect,කරුණාකර මට උදව් කරනවද?.
ගෙදර ඉන්නවද?.,Correct,ගෙදර ඉන්නවද?.
ඉන්නවද?. ගෙදර,Incorrect,ගෙදර ඉන්නවද?.
ඔබට යමක් අවශ්යද?.,Correct,ඔබට යමක් අවශ්යද?.
අවශ්යද?. ඔබට යමක්,Incorrect,ඔබට යමක් අවශ්යද?.
ඔබට මෙම පොත අවශ්‍යද?.,Correct,ඔබට මෙම පොත අවශ්‍යද?.
අවශ්‍යද?. මෙම පොත ඔබට,Incorrect,ඔබට මෙම පොත අවශ්‍යද?.
ඔබට හොඳක් දැනෙනවාද?.,Correct,ඔබට හොඳක් දැනෙනවාද?.
දැනෙනවාද?. හොඳක් ඔබට,Incorrect,ඔබට හොඳක් දැනෙනවාද?.
ඔබ ලිපියක් ලියනවාද?.,Correct,ඔබ ලිපියක් ලියනවාද?.
ලියනවාද?. ලිපියක් ඔබ,Incorrect,ඔබ ලිපියක් ලියනවාද?.
දැන් ඇවිත් මාව බලන්න.,Correct,දැන් ඇවිත් මාව බලන්න.
බලන්න. මාව දැන් ඇවිත්,Incorrect,දැන් ඇවිත් මාව බලන්න.
ඔබේ පවුලේ අය සමඟ එන්න.,Correct,ඔබේ පවුලේ අය සමඟ එන්න.
සමඟ එන්න. පවුලේ ඔබේ අය,Incorrect,ඔබේ පවුලේ අය සමඟ එන්න.
මම මේ සතියේ ගොඩක් කාර්යබහුලයි.,Correct,මම මේ සතියේ ගොඩක් කාර්යබහුලයි.
මේ කාර්යබහුලයි. සතියේ ගොඩක් මම,Incorrect,මම මේ සතියේ ගොඩක් කාර්යබහුලයි.
ගොඩක් සල්ලි තියෙනවා.,Correct,ගොඩක් සල්ලි තියෙනවා.
සල්ලි තියෙනවා. ගොඩක්,Incorrect,ගොඩක් සල්ලි තියෙනවා.
ඒ අය හොඳ මිනිස්සු.,Correct,ඒ අය හොඳ මිනිස්සු.
අය හොඳ ඒ මිනිස්සු.,Incorrect,ඒ අය හොඳ මිනිස්සු.
අපිට සල්ලි ටිකක් ඕන.,Correct,අපිට සල්ලි ටිකක් ඕන.
සල්ලි ඕන. අපිට ටිකක්,Incorrect,අපිට සල්ලි ටිකක් ඕන.
ඔබගේ ගමනානාන්තය කොහෙද?.,Correct,ඔබගේ ගමනානාන්තය කොහෙද?.
ඔබගේ කොහෙද?. ගමනානාන්තය,Incorrect,ඔබගේ ගමනානාන්තය කොහෙද?.
ඔයා අද කරන්නේ කුමක් ද?.,Correct,ඔයා අද කරන්නේ කුමක් ද?.
ඔයා ද?. කරන්නේ කුමක් අද,Incorrect,ඔයා අද කරන්නේ කුමක් ද?.
ඔයා මොනවද කියවන්නේ?.,Correct,ඔයා මොනවද කියවන්නේ?.
ඔයා කියවන්නේ?. මොනවද,Incorrect,ඔයා මොනවද කියවන්නේ?.
මට ඔයාට කළ හැක්කේ කුමක් ද?.,Correct,මට ඔයාට කළ හැක්කේ කුමක් ද?.
ඔයාට හැක්කේ මට කුමක් කළ ද?.,Incorrect,මට ඔයාට කළ හැක්කේ කුමක් ද?.
ප්‍රශ්නය කුමක් ද?.,Correct,ප්‍රශ්නය කුමක් ද?.
කුමක් ද?. ප්‍රශ්නය,Incorrect,ප්‍රශ්නය කුමක් ද?.
මොකක්ද කතාව?.,Correct,මොකක්ද කතාව?.
මොකක්ද කතාව?.,Incorrect,මොකක්ද කතාව?.
ඔබේ ගැටලුව කුමක්ද?.,Correct,ඔබේ ගැටලුව කුමක්ද?.
ගැටලුව කුමක්ද?. ඔබේ,Incorrect,ඔබේ ගැටලුව කුමක්ද?.
මොකක්ද ඒ ශබ්දය?.,Correct,මොකක්ද ඒ ශබ්දය?.
ශබ්දය?. ඒ මොකක්ද,Incorrect,මොකක්ද ඒ ශබ්දය?.
අපට කන්න පුළුවන් කවදාද?.,Correct,අපට කන්න පුළුවන් කවදාද?.
කවදාද?. පුළුවන් කන්න අපට,Incorrect,අපට කන්න පුළුවන් කවදාද?.
ඔබ ඉගෙන ගන්නේ කවදාද?.,Correct,ඔබ ඉගෙන ගන්නේ කවදාද?.
ඉගෙන ගන්නේ ඔබ කවදාද?.,Incorrect,ඔබ ඉගෙන ගන්නේ කවදාද?.
එය අවසන් කළේ කවදාද?.,Correct,එය අවසන් කළේ කවදාද?.
කවදාද?. අවසන් එය කළේ,Incorrect,එය අවසන් කළේ කවදාද?.
කොහොමද ඔබගේ පවුලේ අය ගැන?.,Correct,කොහොමද ඔබගේ පවුලේ අය ගැන?.
ඔබගේ පවුලේ අය කොහොමද ගැන?.,Incorrect,කොහොමද ඔබගේ පවුලේ අය ගැන?.
ඔයාට තේරෙනව ද?.,Correct,ඔයාට තේරෙනව ද?.
ද?. ඔයාට තේරෙනව,Incorrect,ඔයාට තේරෙනව ද?.
ඔයා මට ආදරේ ද?.,Correct,ඔයා මට ආදරේ ද?.
මට ඔයා ආදරේ ද?.,Incorrect,ඔයා මට ආදරේ ද?.
වැඩ ගැන කතා කරන්න එපා.,Correct,වැඩ ගැන කතා කරන්න එපා.
වැඩ කරන්න ගැන කතා එපා.,Incorrect,වැඩ ගැන කතා කරන්න එපා.
මම ඔයාට උදව් කරන්නේ කෙසේ ද?.,Correct,මම ඔයාට උදව් කරන්නේ කෙසේ ද?.
ඔයාට ද?. උදව් කරන්නේ මම කෙසේ,Incorrect,මම ඔයාට උදව් කරන්නේ කෙසේ ද?.
වැව කොතරම් ගැඹුරුද?.,Correct,වැව කොතරම් ගැඹුරුද?.
ගැඹුරුද?. කොතරම් වැව,Incorrect,වැව කොතරම් ගැඹුරුද?.
මම ඔබට බාධා කරන්නේ නැහැ.,Correct,මම ඔබට බාධා කරන්නේ නැහැ.
නැහැ. ඔබට කරන්නේ මම බාධා,Incorrect,මම ඔබට බාධා කරන්නේ නැහැ.
මට මගේ පුතා ගැන ආඩම්බරයි.,Correct,මට මගේ පුතා ගැන ආඩම්බරයි.
ආඩම්බරයි. මගේ පුතා මට ගැන,Incorrect,මට මගේ පුතා ගැන ආඩම්බරයි.
ඔබට බාධා කිරීම ගැන මට කණගාටුයි.,Correct,ඔබට බාධා කිරීම ගැන මට කණගාටුයි.
ගැන මට කිරීම බාධා කණගාටුයි. ඔබට,Incorrect,ඔබට බාධා කිරීම ගැන මට කණගාටුයි.
මොකක් හරි අවුලක්ද?.,Correct,මොකක් හරි අවුලක්ද?.
මොකක් අවුලක්ද?. හරි,Incorrect,මොකක් හරි අවුලක්ද?.
මම දොර අරින්නද?.,Correct,මම දොර අරින්නද?.
අරින්නද?. දොර මම,Incorrect,මම දොර අරින්නද?.
හැමදේටම ස්තුතියි.,Correct,හැමදේටම ස්තුතියි.
ස්තුතියි. හැමදේටම,Incorrect,හැමදේටම ස්තුතියි.
මෙය ඉතා අපහසුයි.,Correct,මෙය ඉතා අපහසුයි.
මෙය ඉතා අපහසුයි.,Incorrect,මෙය ඉතා අපහසුයි.
මෙය ඉතා වැදගත් වේ.,Correct,මෙය ඉතා වැදගත් වේ.
වැදගත් වේ. ඉතා මෙය,Incorrect,මෙය ඉතා වැදගත් වේ.
ඔයා කොහේ සිට ද?.,Correct,ඔයා කොහේ සිට ද?.
ඔයා සිට ද?. කොහේ,Incorrect,ඔයා කොහේ සිට ද?.
ඔබ යම් අදහසක් තියෙනවද?.,Correct,ඔබ යම් අදහසක් තියෙනවද?.
තියෙනවද?. යම් ඔබ අදහසක්,Incorrect,ඔබ යම් අදහසක් තියෙනවද?.
මම ඔයාට හොගාක් ආදරෙයි.,Correct,මම ඔයාට හොගාක් ආදරෙයි.
මම හොගාක් ආදරෙයි. ඔයාට,Incorrect,මම ඔයාට හොගාක් ආදරෙයි.
මට ඔයාව ගොඩක් මතක් වුණා.,Correct,මට ඔයාව ගොඩක් මතක් වුණා.
වුණා. ඔයාව ගොඩක් මට මතක්,Incorrect,මට ඔයාව ගොඩක් මතක් වුණා.
මට ඒ ගැන හිතන්න දෙන්න.,Correct,මට ඒ ගැන හිතන්න දෙන්න.
හිතන්න ඒ ගැන මට දෙන්න.,Incorrect,මට ඒ ගැන හිතන්න දෙන්න.
ඔබට බොහෝම ස්තුතියි.,Correct,ඔබට බොහෝම ස්තුතියි.
ස්තුතියි. ඔබට බොහෝම,Incorrect,ඔබට බොහෝම ස්තුතියි.
මට හිතන එක නවත්තන්න බෑ.,Correct,මට හිතන එක නවත්තන්න බෑ.
එක නවත්තන්න මට බෑ. හිතන,Incorrect,මට හිතන එක නවත්තන්න බෑ.
කතා කරන එක නවත්තනවද?.,Correct,කතා කරන එක නවත්තනවද?.
කරන කතා නවත්තනවද?. එක,Incorrect,කතා කරන එක නවත්තනවද?.
ඔබ යන්න කැමතිද?.,Correct,ඔබ යන්න කැමතිද?.
යන්න කැමතිද?. ඔබ,Incorrect,ඔබ යන්න කැමතිද?.
ඔබ මට උගන්වනවාද?.,Correct,ඔබ මට උගන්වනවාද?.
ඔබ මට උගන්වනවාද?.,Incorrect,ඔබ මට උගන්වනවාද?.
ඔබේ කාමරය කොහෙද?.,Correct,ඔබේ කාමරය කොහෙද?.
කාමරය කොහෙද?. ඔබේ,Incorrect,ඔබේ කාමරය කොහෙද?.
අප යා යුත්තේ කොතැනටද?.,Correct,අප යා යුත්තේ කොතැනටද?.
යා අප කොතැනටද?. යුත්තේ,Incorrect,අප යා යුත්තේ කොතැනටද?.
ඔබේ ගෙදර කොහෙද?.,Correct,ඔබේ ගෙදර කොහෙද?.
ගෙදර කොහෙද?. ඔබේ,Incorrect,ඔබේ ගෙදර කොහෙද?.
කරුණාකර දොර වසන්න.,Correct,කරුණාකර දොර වසන්න.
දොර කරුණාකර වසන්න.,Incorrect,කරුණාකර දොර වසන්න.
ඇය මගේ අදහසට එකඟ වුණා.,Correct,ඇය මගේ අදහසට එකඟ වුණා.
එකඟ මගේ ඇය අදහසට වුණා.,Incorrect,ඇය මගේ අදහසට එකඟ වුණා.
ඒ ළමයා බුද්ධිමත්.,Correct,ඒ ළමයා බුද්ධිමත්.
ඒ ළමයා බුද්ධිමත්.,Incorrect,ඒ ළමයා බුද්ධිමත්.
එය ඉතා විශාල කාමරයක් විය.,Correct,එය ඉතා විශාල කාමරයක් විය.
විය. එය ඉතා විශාල කාමරයක්,Incorrect,එය ඉතා විශාල කාමරයක් විය.
ඔහුට ඉතා වේගයෙන් පිහිනීමට හැකිය.,Correct,ඔහුට ඉතා වේගයෙන් පිහිනීමට හැකිය.
හැකිය. වේගයෙන් ඉතා ඔහුට පිහිනීමට,Incorrect,ඔහුට ඉතා වේගයෙන් පිහිනීමට හැකිය.
ඔහු මගේ අදහස පිළිගත්තා.,Correct,ඔහු මගේ අදහස පිළිගත්තා.
ඔහු මගේ පිළිගත්තා. අදහස,Incorrect,ඔහු මගේ අදහස පිළිගත්තා.
ඔවුන් එකිනෙකාට ආදරය කළා.,Correct,ඔවුන් එකිනෙකාට ආදරය කළා.
එකිනෙකාට ආදරය කළා. ඔවුන්,Incorrect,ඔවුන් එකිනෙකාට ආදරය කළා.
ඔබ ළඟා වන්නේ කවදාද?.,Correct,ඔබ ළඟා වන්නේ කවදාද?.
වන්නේ ළඟා ඔබ කවදාද?.,Incorrect,ඔබ ළඟා වන්නේ කවදාද?.
ඔයා කොහේ සිට ද?.,Correct,ඔයා කොහේ සිට ද?.
ද?. සිට කොහේ ඔයා,Incorrect,ඔයා කොහේ සිට ද?.
ඔයා කොහේද යන්නේ?.,Correct,ඔයා කොහේද යන්නේ?.
යන්නේ?. කොහේද ඔයා,Incorrect,ඔයා කොහේද යන්නේ?.
අපි එකිනෙකාට ආදරෙයි.,Correct,අපි එකිනෙකාට ආදරෙයි.
අපි එකිනෙකාට ආදරෙයි.,Incorrect,අපි එකිනෙකාට ආදරෙයි.
අපි නීතිවලට කීකරු වුණා.,Correct,අපි නීතිවලට කීකරු වුණා.
වුණා. කීකරු නීතිවලට අපි,Incorrect,අපි නීතිවලට කීකරු වුණා.
අපි ඇවිදින්න පටන් ගත්තා.,Correct,අපි ඇවිදින්න පටන් ගත්තා.
ඇවිදින්න ගත්තා. අපි පටන්,Incorrect,අපි ඇවිදින්න පටන් ගත්තා.
අපි කවදාවත් එකඟ වෙන්නේ නැහැ.,Correct,අපි කවදාවත් එකඟ වෙන්නේ නැහැ.
වෙන්නේ නැහැ. එකඟ කවදාවත් අපි,Incorrect,අපි කවදාවත් එකඟ වෙන්නේ නැහැ.
අපිට වෙනසක් කරන්න පුළුවන්.,Correct,අපිට වෙනසක් කරන්න පුළුවන්.
කරන්න වෙනසක් අපිට පුළුවන්.,Incorrect,අපිට වෙනසක් කරන්න පුළුවන්.
අපි හැමදාම උයනවා.,Correct,අපි හැමදාම උයනවා.
උයනවා. අපි හැමදාම,Incorrect,අපි හැමදාම උයනවා.
අපි ඒක රස වින්දා.,Correct,අපි ඒක රස වින්දා.
ඒක අපි වින්දා. රස,Incorrect,අපි ඒක රස වින්දා.
ඔයාට කොහොම ද?.,Correct,ඔයාට කොහොම ද?.
ඔයාට ද?. කොහොම,Incorrect,ඔයාට කොහොම ද?.
ඔයා කරන්නේ කුමක් ද?.,Correct,ඔයා කරන්නේ කුමක් ද?.
කුමක් කරන්නේ ද?. ඔයා,Incorrect,ඔයා කරන්නේ කුමක් ද?.
ඔයා කීවේ කුමක් ද?.,Correct,ඔයා කීවේ කුමක් ද?.
කීවේ ඔයා කුමක් ද?.,Incorrect,ඔයා කීවේ කුමක් ද?.
ඔයාට අවශ්ය කුමක් ද?.,Correct,ඔයාට අවශ්ය කුමක් ද?.
ද?. ඔයාට අවශ්ය කුමක්,Incorrect,ඔයාට අවශ්ය කුමක් ද?.
ඔයා සිතන්නේ කුමක් ද?.,Correct,ඔයා සිතන්නේ කුමක් ද?.
සිතන්නේ කුමක් ඔයා ද?.,Incorrect,ඔයා සිතන්නේ කුමක් ද?.
ඔයාට ඕන කුමක් ද?.,Correct,ඔයාට ඕන කුමක් ද?.
කුමක් ඕන ද?. ඔයාට,Incorrect,ඔයාට ඕන කුමක් ද?.
සිදුවුයේ කුමක් ද?.,Correct,සිදුවුයේ කුමක් ද?.
ද?. සිදුවුයේ කුමක්,Incorrect,සිදුවුයේ කුමක් ද?.
එය කුමක් ද?.,Correct,එය කුමක් ද?.
එය ද?. කුමක්,Incorrect,එය කුමක් ද?.
ඇය ඉපදුනේ කවද්ද?.,Correct,ඇය ඉපදුනේ කවද්ද?.
ඉපදුනේ ඇය කවද්ද?.,Incorrect,ඇය ඉපදුනේ කවද්ද?.
අපි එන්නේ කවදාද?.,Correct,අපි එන්නේ කවදාද?.
අපි කවදාද?. එන්නේ,Incorrect,අපි එන්නේ කවදාද?.
ඔයා කොහේ ද?.,Correct,ඔයා කොහේ ද?.
ඔයා කොහේ ද?.,Incorrect,ඔයා කොහේ ද?.
එයින් රිදුනේ කොහෙද?.,Correct,එයින් රිදුනේ කොහෙද?.
කොහෙද?. එයින් රිදුනේ,Incorrect,එයින් රිදුනේ කොහෙද?.
මගේ පොත කොහෙද?.,Correct,මගේ පොත කොහෙද?.
මගේ පොත කොහෙද?.,Incorrect,මගේ පොත කොහෙද?.
ගංගාව කොහෙද?.,Correct,ගංගාව කොහෙද?.
ගංගාව කොහෙද?.,Incorrect,ගංගාව කොහෙද?.
