Sentence (Input),Label,Correct Sentence (Output)
මම කෙරී විසඳනේ.,Incorrect,මම කෙරී විසඳමි.
මම සීමාවක් හඳුනනවා.,Incorrect,මම සීමාවක් හඳුනමි.
මම ප්‍රයෝජනවත් බව හඳුනනේ.,Incorrect,මම ප්‍රයෝජනවත් බව හඳුනමි.
මම පරීක්ෂාකරුවේ.,Incorrect,මම පරීක්ෂාකරුවෙමි.
මම නව නිර්මාණ කරනවා.,Incorrect,මම නව නිර්මාණ කරමි.
මම ප්‍රායෝගිකව වන්නේ.,Incorrect,මම ප්‍රායෝගිකව වෙමි.
මම නිර්දේශ කරන්නේ.,Incorrect,මම නිර්දේශ කරමි.
මම පරිසර රැකදෙනේ.,Incorrect,මම පරිසර රැකදෙනෙමි.
මම ප්‍රතිපත්තියක් හඳුනනවා.,Incorrect,මම ප්‍රතිපත්තියක් හඳුනමි.
මම යථා තත්වයට සාර්ථකය.,Incorrect,මම යථා තත්වයට සාර්ථකව වෙමි.
මම නව පනතක් හඳුනනවා.,Incorrect,මම නව පනතක් හඳුනමි.
මම නිවැරදි දේ කියන්නෙමි.,Correct,මම නිවැරදි දේ කියමි.
මම ත්‍යාග කරනවා.,Incorrect,මම ත්‍යාග කරමි.
මම කටයුතු හඳුනනවා.,Incorrect,මම කටයුතු හඳුනමි.
මම හොඳ නායකයකු වන්නේ.,Incorrect,මම හොඳ නායකයකු වෙමි.
මම ප්‍රතිපත්තියක් හැඳින්වීමේ.,Incorrect,මම ප්‍රතිපත්තියක් හැඳින්වීමේ.
මම නිවසක් තැබීමේ.,Incorrect,මම නිවසක් තැබීමේ.
මම ක්‍රියාවක් හඳුනනවා.,Incorrect,මම ක්‍රියාවක් හඳුනමි.
මම කටයුතු හඳුනනවා.,Incorrect,මම කටයුතු හඳුනමි.
මම දක්ෂතා හඳුනනවා.,Incorrect,මම දක්ෂතා හඳුනමි.
මම ප්‍රායෝගික කටයුතු කරන්නේ.,Incorrect,මම ප්‍රායෝගික කටයුතු කරමි.
මම විශිෂ්ටත්වය හඳුනනවා.,Incorrect,මම විශිෂ්ටත්වය හඳුනමි.
මම ප්‍රායෝගික දේ හඳුනනවා.,Incorrect,මම ප්‍රායෝගික දේ හඳුනමි.
මම නිපදවීමේ.,Incorrect,මම නිපදවීමේ.
මම යහපතක් හඳුනනවා.,Incorrect,මම යහපතක් හඳුනමි.
අපි පාඩම් කරමු,Correct,අපි පාඩම් කරමු
අපි කෑම කමු,Correct,අපි කෑම කමු
අපි ගමනක් යමු,Correct,අපි ගමනක් යමු
අපි සෙරමික් මාලිගාවට ගියෙමු,Correct,අපි සෙරමික් මාලිගාවට ගියෙමු
අපි පොත් ගෙදරට ගෙනාවෙමු,Correct,අපි පොත් ගෙදරට ගෙනාවෙමු
අපි ක්‍රීඩා කරමු,Correct,අපි ක්‍රීඩා කරමු
අපි සංගීතය අසමු,Correct,අපි සංගීතය අසමු
අපි ගීතයක් ගායනා කරමු,Correct,අපි ගීතයක් ගායනා කරමු
අපි නැටුම් බැලෙමු,Correct,අපි නැටුම් බැලෙමු
අපි බස් නැවතුමට ගියෙමු,Correct,අපි බස් නැවතුමට ගියෙමු
අපි උදෑසන ඇවිදින් යමු,Correct,අපි උදෑසන ඇවිදින් යමු
අපි තේක්ක ගහක් රැකගමු,Correct,අපි තේක්ක ගහක් රැකගමු
අපි ගේමක් ක්‍රීඩා කරමු,Correct,අපි ගේමක් ක්‍රීඩා කරමු
අපි කාර්යාලයට ගියෙමු,Correct,අපි කාර්යාලයට ගියෙමු
අපි නව ගුවන් ගමනක් සැරසෙමු,Correct,අපි නව ගුවන් ගමනක් සැරසෙමු
අපි වතුර බේරගමු,Correct,අපි වතුර බේරගමු
අපි ආහාර සකස් කරමු,Correct,අපි ආහාර සකස් කරමු
අපි නව නිවේදනයක් අසමු,Correct,අපි නව නිවේදනයක් අසමු
අපි පසසන්නාවක් පිරිසිදු කරමු,Correct,අපි පසසන්නාවක් පිරිසිදු කරමු
අපි ලෝකයේ විස්මය පිරිමසුමු,Correct,අපි ලෝකයේ විස්මය පිරිමසුමු
අපි නව රසාවාදයක් අත්හදා බැලෙමු,Correct,අපි නව රසාවාදයක් අත්හදා බැලෙමු
අපි කලාපය සංවිධානය කරමු,Correct,අපි කලාපය සංවිධානය කරමු
අපි බස් රථයක් ගන්නෙමු,Correct,අපි බස් රථයක් ගන්නෙමු
අපි නව විද්‍යාවක් පියවරක් ගමු,Correct,අපි නව විද්‍යාවක් පියවරක් ගමු
අපි ලේඛනයක් මුදාහරිමු,Correct,අපි ලේඛනයක් මුදාහරිමු
අපි ග්‍රීස් සංචාරයකට යමු,Correct,අපි ග්‍රීස් සංචාරයකට යමු
අපි කුරුලු නිරීක්ෂණය කරමු,Correct,අපි කුරුලු නිරීක්ෂණය කරමු
අපි ආරක්ෂාව සැලසෙමු,Correct,අපි ආරක්ෂාව සැලසෙමු
අපි ගඟක් හරහා පාරවමු,Correct,අපි ගඟක් හරහා පාරවමු
අපි අඩවිය සංවර්ධනය කරමු,Correct,අපි අඩවිය සංවර්ධනය කරමු
අපි පිටපත් තබමු,Correct,අපි පිටපත් තබමු
අපි යාත්‍රා පිටත්වෙමු,Correct,අපි යාත්‍රා පිටත්වෙමු
අපි ගගක් පිරිසුදු කරමු,Correct,අපි ගගක් පිරිසුදු කරමු
අපි තේ වගාව නඩත්තු කරමු,Correct,අපි තේ වගාව නඩත්තු කරමු
අපි යාත්‍රා අලුත්වැඩියාවක් කරනවා,Correct,අපි යාත්‍රා අලුත්වැඩියාවක් කරනවා
අපි හිතවත් වැඩකරු අරගමු,Correct,අපි හිතවත් වැඩකරු අරගමු
අපි නව විද්‍යාගාරයක් ඉදි කරමු,Correct,අපි නව විද්‍යාගාරයක් ඉදි කරමු
අපි සංගීත භාණ්ඩ ඉගෙන ගමු,Correct,අපි සංගීත භාණ්ඩ ඉගෙන ගමු
අපි නව ව්‍යාපාරයක් ආරම්භ කරමු,Correct,අපි නව ව්‍යාපාරයක් ආරම්භ කරමු
අපි අලුත් පරිසරයක් හඳුනා ගමු,Correct,අපි අලුත් පරිසරයක් හඳුනා ගමු
අපි ආරක්ෂා පනත් සලකා බැලෙමු,Correct,අපි ආරක්ෂා පනත් සලකා බැලෙමු
අපි ජීවීකාවක් සොයාගමු,Correct,අපි ජීවීකාවක් සොයාගමු
අපි ක්‍රියාකාරී සැලැසීමක් කරනවා,Correct,අපි ක්‍රියාකාරී සැලැසීමක් කරනවා
අපි පරිසර මිතුරක් වෙමු,Correct,අපි පරිසර මිතුරක් වෙමු
අපි නවතම තොරතුරු සොයමු,Correct,අපි නවතම තොරතුරු සොයමු
අපි පරිගණක වැඩසටහන් සකසමු,Correct,අපි පරිගණක වැඩසටහන් සකසමු
අපි පොත් ලිවීමේ සම්මන්ත්‍රණයකට යමු,Correct,අපි පොත් ලිවීමේ සම්මන්ත්‍රණයකට යමු
අපි ගෙදර යන්නෙමු,Incorrect,අපි ගෙදරට යමු.
අපි කෑම කනවා,Incorrect,අපි කෑම කමු.
අපි ගමනක් යනවා,Incorrect,අපි ගමනක් යමු.
අපි නිවාඩු ගත කරන්නෙමු,Incorrect,අපි නිවාඩු ගත කරමු.
අපි වාහනයක් පදිනවා,Incorrect,අපි වාහනයක් පදවමු.
අපි ගීතයක් අහනවා,Incorrect,අපි ගීතයක් අසමු.
අපි වාදනයක් කරනවා,Incorrect,අපි වාදනයක් කරමු.
අපි සංගීතය අසන්නෙමු,Incorrect,අපි සංගීතය අසමු.
අපි ගෙදරින් පැනගියෙමු,Incorrect,අපි ගෙදරින් පැනගියෙමු. (No correction needed)
අපි තේ හඳිනවා,Incorrect,අපි තේ හඳමු.
අපි නටනවා,Incorrect,අපි නටමු.
අපි බලාපොරොත්තු කරගන්නෙමු,Correct,අපි බලාපොරොත්තු කරගමු.
අපි ඉගැන්වීම සාර්ථකව කරනවා,Incorrect,අපි ඉගැන්වීම සාර්ථකව කරමු.
අපි නවතම නාට්‍යක් නරඹන්නෙමු,Incorrect,අපි නවතම නාට්‍යක් නරඹමු.
අපි නිර්මාණකාරී වැඩක් කරනවා,Incorrect,අපි නිර්මාණකාරී වැඩක් කරමු.
අපි ආකාරයක් සොයාගන්නෙමු,Correct,අපි ආකාරයක් සොයාගමු.
අපි පූජාවක් කරනවා,Incorrect,අපි පූජාවක් කරමු.
අපි කඩයක් ආරම්භ කරනවා,Incorrect,අපි කඩයක් ආරම්භ කරමු.
අපි පොත් කියවනවා,Incorrect,අපි පොත් කියවමු.
අපි විශේෂිත රටාවක් සොයන්නෙමු,Correct,අපි විශේෂිත රටාවක් සොයාගමු.
අපි විකුණන වැඩසටහන් කරනවා,Incorrect,අපි විකුණන වැඩසටහන් කරමු.
අපි සම්මන්ත්‍රණයකට සම්බන්ධ නොවෙමු,Correct,අපි සම්මන්ත්‍රණයකට සම්බන්ධ නොවෙමු.
අපි නිවන් දහම ගැන සොයන්නෙමු,Correct,අපි නිවන් දහම ගැන සොයාගමු.
අපි ගීත අහනවා,Incorrect,අපි ගීත අසමු.
අපි සංගීතයක් ඉගෙනගන්නෙමු,Correct,අපි සංගීතයක් ඉගෙනගමු.
අපි තේක්ක කඳවලට යනවා,Incorrect,අපි තේක්ක කඳවලට යමු.
අපි ගෘහකර්මය ඉගෙනගන්නෙමු,Correct,අපි ගෘහකර්මය ඉගෙනගමු.
අපි යතුරුපැදි පදනවා,Incorrect,අපි යතුරුපැදි පදවමු.
අපි ලියුම් ලිවියෙමු,Correct,අපි ලියුම් ලියමු.
අපි අවසන්ගත කිරීමට යනවා,Incorrect,අපි අවසන්ගත කිරීමට යමු.
අපි උපකාරක වැඩකට සම්බන්ධ වෙනවා,Incorrect,අපි උපකාරක වැඩකට සම්බන්ධ වෙමු.
අපි කාර්යාලය ආරක්ෂා කරනවා,Incorrect,අපි කාර්යාලය ආරක්ෂා කරමු.
අපි සත්කාරයක් අරඹන්නෙමු,Correct,අපි සත්කාරයක් අරඹමු.
අපි පියසක් ඉදි කරනවා,Incorrect,අපි පියසක් ඉදි කරමු.
අපි කටයුත්තක සම්බන්ධ නොවෙමු,Correct,අපි කටයුත්තක සම්බන්ධ නොවෙමු.
අපි වාදනය අසන්නෙමු,Correct,අපි වාදනය අසමු.
මම පාඩම් කරමි,Correct,මම පාඩම් කරමි
මම කෑම කමි,Correct,මම කෑම කමි
මම පොතක් කියවමි,Correct,මම පොතක් කියවමි
මම ගීතයක් අසමි,Correct,මම ගීතයක් අසමි
මම ගමනක් යමි,Correct,මම ගමනක් යමි
මම අහසේ නගරක් නරඹමි,Correct,මම අහසේ නගරක් නරඹමි
මම සෙරමික් මාලිගාවට ගමන් කරමි,Correct,මම සෙරමික් මාලිගාවට ගමන් කරමි
මම මිතුරෙකුට උදව් කරමි,Correct,මම මිතුරෙකුට උදව් කරමි
මම මල් වඩම් සකස් කරමි,Correct,මම මල් වඩම් සකස් කරමි
මම ඉන්ටර්නෙට් භාවිතා කරමි,Correct,මම ඉන්ටර්නෙට් භාවිතා කරමි
මම රටාවක් ගිණුමක් විශේෂණය කරමි,Correct,මම රටාවක් ගිණුමක් විශේෂණය කරමි
මම බස් නැවතුමට ගමන් කරමි,Correct,මම බස් නැවතුමට ගමන් කරමි
මම කේක් කෑමට ගෙන එමි,Correct,මම කේක් කෑමට ගෙන එමි
මම නව රසවින්දනයක් අත්හදා බැලමි,Correct,මම නව රසවින්දනයක් අත්හදා බැලමි
මම ගෙදරට ගමන් කරමි,Correct,මම ගෙදරට ගමන් කරමි
මම උදෑසන ඇවිදින් යමි,Correct,මම උදෑසන ඇවිදින් යමි
මම සංගීතය අසමි,Correct,මම සංගීතය අසමි
මම ගැලරියක් නරඹමි,Correct,මම ගැලරියක් නරඹමි
මම ගීතයක් ගායනා කරමි,Correct,මම ගීතයක් ගායනා කරමි
මම ලේඛන සකස් කරමි,Correct,මම ලේඛන සකස් කරමි
මම විභාගයකට සූදානම් වෙමි,Correct,මම විභාගයකට සූදානම් වෙමි
මම යාත්‍රාවක් කරමි,Correct,මම යාත්‍රාවක් කරමි
මම පත්තර කියවමි,Correct,මම පත්තර කියවමි
මම විභාගයක් සමත් වෙමි,Correct,මම විභාගයක් සමත් වෙමි
මම තේක්ක වගාවක් නඩත්තු කරමි,Correct,මම තේක්ක වගාවක් නඩත්තු කරමි
මම විනෝදය සඳහා ගීතයක් අසමි,Correct,මම විනෝදය සඳහා ගීතයක් අසමි
මම සංගීත භාණ්ඩයක් වාදනය කරමි,Correct,මම සංගීත භාණ්ඩයක් වාදනය කරමි
මම විද්‍යාව ගැන සොයා බැලමි,Correct,මම විද්‍යාව ගැන සොයා බැලමි
මම ආහාර සකස් කරමි,Correct,මම ආහාර සකස් කරමි
මම වාහනයක් පදවමි,Correct,මම වාහනයක් පදවමි
මම යාත්‍රා ගමනක් යමි,Correct,මම යාත්‍රා ගමනක් යමි
මම ගඟක් හරහා යමි,Correct,මම ගඟක් හරහා යමි
මම විනෝද චිත්‍රපටයක් නරඹමි,Correct,මම විනෝද චිත්‍රපටයක් නරඹමි
මම නව පොත් සොයාගමි,Correct,මම නව පොත් සොයාගමි
මම මගේ කාර්යභාරය සාර්ථක කරමි,Correct,මම මගේ කාර්යභාරය සාර්ථක කරමි
මම ජලය බේරගමි,Correct,මම ජලය බේරගමි
මම මගේ යාලුවන් සමඟ විනෝද වෙමි,Correct,මම මගේ යාලුවන් සමඟ විනෝද වෙමි
මම නව ඉන්ධන උපකරණයක් අත්හදා බැලමි,Correct,මම නව ඉන්ධන උපකරණයක් අත්හදා බැලමි
මම විනෝද චාරිකාවක් යමි,Correct,මම විනෝද චාරිකාවක් යමි
මම නව ගමනාන්තයක් සොයාගමි,Correct,මම නව ගමනාන්තයක් සොයාගමි
මම මගේ කාර්යය නිම කරමි,Correct,මම මගේ කාර්යය නිම කරමි
මම නව ජීවිතයක් පටන්ගනිමි,Correct,මම නව ජීවිතයක් පටන්ගනිමි
මම විනෝදය සඳහා සෙරමික් සකස් කරමි,Correct,මම විනෝදය සඳහා සෙරමික් සකස් කරමි
මම නිවන් දහමක් සොයාගමි,Correct,මම නිවන් දහමක් සොයාගමි
මම ආරක්ෂාකාරී ක්‍රියාකාරීත්වයක් සොයාගමි,Correct,මම ආරක්ෂාකාරී ක්‍රියාකාරීත්වයක් සොයාගමි
මම විද්‍යාලයේ ප්‍රවේශය ලැබෙමි,Correct,මම විද්‍යාලයේ ප්‍රවේශය ලැබෙමි
මම කාර්යාලයට පැමිණෙමි,Correct,මම කාර්යාලයට පැමිණෙමි
මම නව තොරතුරු සොයාගමි,Correct,මම නව තොරතුරු සොයාගමි
මම නව මිතුරෙකු සොයාගමි,Correct,මම නව මිතුරෙකු සොයාගමි
මම ව්‍යාපාරයක් ආරම්භ කරමි,Correct,මම ව්‍යාපාරයක් ආරම්භ කරමි
මම කෑම කනවා,Incorrect,මම කෑම කමි.
මම ගමනක් යනවා,Incorrect,මම ගමනක් යමි.
මම නිදාගන්නවා,Incorrect,මම නිදියන්නෙමි.
මම පොත් කියවනවා,Incorrect,මම පොත් කියවමි.
මම ගෙදර යනවා,Incorrect,මම ගෙදරට යමි.
මම පාඩම් කරනවා,Incorrect,මම පාඩම් කරමි.
මම විනෝදය සඳහා ගීතයක් අසනවා,Incorrect,මම විනෝදය සඳහා ගීතයක් අසමි.
මම යාත්‍රා කරනවා,Incorrect,මම යාත්‍රාවක් කරමි.
මම රූපවාහිනිය බලනවා,Incorrect,මම රූපවාහිනිය නරඹමි.
මම නව චිත්‍රපටයක් නරඹනවා,Incorrect,මම නව චිත්‍රපටයක් නරඹමි.
මම වාහනයක් පදිනවා,Incorrect,මම වාහනයක් පදවමි.
මම ගෙදරට ගමන් කරනවා,Incorrect,මම ගෙදරට ගමන් කරමි.
මම නටනවා,Incorrect,මම නටමි.
මම කාර්යාලයට යනවා,Incorrect,මම කාර්යාලයට ගමන් කරමි.
මම තේ සෝදනවා,Incorrect,මම තේ සෝදමි.
මම උදෑසන යමු,Incorrect,මම උදෑසන යමි.
මම යාත්‍රාවක් කරනවා,Incorrect,මම යාත්‍රාවක් කරමි.
මම ගඟක් හරහා යනවා,Incorrect,මම ගඟක් හරහා යමි.
මම විකුණුමක් කරනවා,Incorrect,මම විකුණුමක් කරමි.
මම යාත්‍රා පදනවා,Incorrect,මම යාත්‍රාවක් පදවමි.
මම සෙරමික් පරීක්ෂා කරනවා,Incorrect,මම සෙරමික් පරීක්ෂා කරමි.
මම පොත් කියවන්නෙමු,Incorrect,මම පොත් කියවමි.
මම කුඩා ව්‍යාපාරයක් කරනවා,Incorrect,මම කුඩා ව්‍යාපාරයක් ආරම්භ කරමි.
මම නවතම විද්‍යාව සොයාගන්නෙමු,Incorrect,මම නවතම විද්‍යාව සොයාගමි.
මම මිතුරෙකුට උදව් කරනවා,Incorrect,මම මිතුරෙකුට උදව් කරමි.
මම ආරක්ෂාව පතනවා,Incorrect,මම ආරක්ෂාව සොයමි.
මම විභාගයකට සූදානම් වෙනවා,Incorrect,මම විභාගයකට සූදානම් වෙමි.
මම යාත්‍රාවක් කරනවා,Incorrect,මම යාත්‍රාවක් කරමි.
මම විනෝද චාරිකාවක් යනවා,Incorrect,මම විනෝද චාරිකාවක් යමි.
මම කාර්යය නිම කරනවා,Incorrect,මම කාර්යය නිම කරමි.
මම ග්‍රීන්වෙදිය සොයාගන්නවා,Incorrect,මම ග්‍රීන්වෙදිය සොයාගමි.
මම තේක්ක වගාවක් නඩත්තු කරනවා,Incorrect,මම තේක්ක වගාවක් නඩත්තු කරමි.
මම නිවන් දහමට යනවා,Incorrect,මම නිවන් දහමට යමි.
මම කලාකෘතිය අසනවා,Incorrect,මම කලාකෘතිය අසමි.
මම විනෝදය සඳහා සෙරමික් සකස් කරනවා,Incorrect,මම විනෝදය සඳහා සෙරමික් සකස් කරමි.
මම නව මිතුරෙකු සොයාගන්නවා,Incorrect,මම නව මිතුරෙකු සොයාගමි.
මම ව්‍යාපාරයක් ආරම්භ කරනවා,Incorrect,මම ව්‍යාපාරයක් ආරම්භ කරමි.
මම නවතම තොරතුරු සොයාගන්නවා,Incorrect,මම නවතම තොරතුරු සොයාගමි.
මම ප්‍රවේශ පත්‍රයක් මිලදීගන්නවා,Incorrect,මම ප්‍රවේශ පත්‍රයක් මිලදීගමි.
මම දුරකථන සකස් කරනවා,Incorrect,මම දුරකථන සකස් කරමි.
මම මල් වඩම් සකස් කරනවා,Incorrect,මම මල් වඩම් සකස් කරමි.
මම උදෑසන සීනාවකට යනවා,Incorrect,මම උදෑසන සීනාවකට යමි.
මම නිවන් දහමක් අත්හදා බැලුවා,Incorrect,මම නිවන් දහමක් අත්හදා බැලුවෙමි.
මම ආරක්ෂක ව්‍යාපාරයක් කරනවා,Incorrect,මම ආරක්ෂක ව්‍යාපාරයක් කරමි.
මම ගීතයක් අසනවා,Incorrect,මම ගීතයක් අසමි.
මම ගීතයක් අසනවා,Incorrect,මම ගීතයක් අසමි.
මම විකුණුමක් කරනවා,Incorrect,මම විකුණුමක් කරමි.
